Reka,Stanica,Datum,H (cm),NS - Proticaj (m3/s),NS - T vode   (°C),NS - Ep. (µS/cm),NS - O2 (mg/l)
DUNAV,NOVI SAD,7/1/2024,381,4150.82,24.2,366,7
DUNAV,NOVI SAD,7/2/2024,371,4055.72,24,436,7.3
DUNAV,NOVI SAD,7/3/2024,357,3924.84,22.2,352,7.6
DUNAV,NOVI SAD,7/4/2024,342,3787.53,23.6,355,7.3
DUNAV,NOVI SAD,7/5/2024,331,3688.76,22.4,366,7.3
DUNAV,NOVI SAD,7/6/2024,330,3679.86,22.87,367.33,7.4
DUNAV,NOVI SAD,7/7/2024,329,3670.98,23.33,368.67,7.5
DUNAV,NOVI SAD,7/8/2024,328,3662.11,23.8,370,7.6
DUNAV,NOVI SAD,7/9/2024,316,3556.7,24,366,7.6
DUNAV,NOVI SAD,7/10/2024,292,3351.71,24.8,371,7.6
DUNAV,NOVI SAD,7/11/2024,269,3162.53,25.2,373,7.3
DUNAV,NOVI SAD,7/12/2024,262,3106.36,25.8,373,7.4
DUNAV,NOVI SAD,7/13/2024,258.33,3077.21,25.4,367.67,7.43
DUNAV,NOVI SAD,7/14/2024,254.67,3048.23,25,362.33,7.47
DUNAV,NOVI SAD,7/15/2024,251,3019.44,24.6,357,7.5
DUNAV,NOVI SAD,7/16/2024,246,2980.46,26.6,360,7.8
DUNAV,NOVI SAD,7/17/2024,258,3074.56,27,364,8.2
DUNAV,NOVI SAD,7/18/2024,272,3186.8,26.8,370,7.7
DUNAV,NOVI SAD,7/19/2024,278,3235.71,26.6,368,7.8
DUNAV,NOVI SAD,7/20/2024,267.33,3149.09,26.33,364.33,7.67
DUNAV,NOVI SAD,7/21/2024,256.67,3064.01,26.07,360.67,7.53
DUNAV,NOVI SAD,7/22/2024,246,2980.46,25.8,357,7.4
DUNAV,NOVI SAD,7/23/2024,240,2934.14,25.9,361,7.5
DUNAV,NOVI SAD,7/24/2024,235,2895.91,26,355,7.4
DUNAV,NOVI SAD,7/25/2024,226,2827.93,25.2,346,7.4
DUNAV,NOVI SAD,7/26/2024,213,2731.68,25,345,7.6
DUNAV,NOVI SAD,7/27/2024,207.33,2690.43,25.03,352.33,7.6
DUNAV,NOVI SAD,7/28/2024,201.67,2649.61,25.07,359.67,7.6
DUNAV,NOVI SAD,7/29/2024,196,2609.23,25.1,367,7.6
DUNAV,NOVI SAD,7/30/2024,191,2573.96,24.6,367,8
DUNAV,NOVI SAD,7/31/2024,188,2552.96,25,369,8.8
DUNAV,NOVI SAD,8/1/2024,174,2456.55,25,367,8.6
DUNAV,NOVI SAD,8/2/2024,159,2356.18,25.2,363,8.8
DUNAV,NOVI SAD,8/3/2024,148,2284.5,25.1,364,8.8
DUNAV,NOVI SAD,8/4/2024,137,2214.45,25,365,8.8
DUNAV,NOVI SAD,8/5/2024,126,2146.03,24.9,366,8.8
DUNAV,NOVI SAD,8/6/2024,125,2139.89,24.9,373,8.8
DUNAV,NOVI SAD,8/7/2024,131,2176.92,24.8,375,9.2
DUNAV,NOVI SAD,8/8/2024,134,2195.63,24.5,376,9.1
DUNAV,NOVI SAD,8/9/2024,132,2183.14,24.6,380,8.9
DUNAV,NOVI SAD,8/10/2024,129,2164.52,24.93,381,8.8
DUNAV,NOVI SAD,8/11/2024,126,2146.03,25.27,382,8.7
DUNAV,NOVI SAD,8/12/2024,123,2127.65,25.6,383,8.6
DUNAV,NOVI SAD,8/13/2024,125,2139.89,26.2,375,9.6
DUNAV,NOVI SAD,8/14/2024,118,2097.29,26.2,379,9.6
DUNAV,NOVI SAD,8/15/2024,107,2031.67,26.6,383,9.4
DUNAV,NOVI SAD,8/16/2024,91,1939.15,26,381,9.3
DUNAV,NOVI SAD,8/17/2024,88.33,1924.06,26.47,381.33,9.17
DUNAV,NOVI SAD,8/18/2024,85.67,1909.07,26.93,381.67,9.03
DUNAV,NOVI SAD,8/19/2024,83,1894.18,27.4,382,8.9
DUNAV,NOVI SAD,8/20/2024,86,1910.94,27.6,390,8.5
DUNAV,NOVI SAD,8/21/2024,86,1910.94,26.9,393,7.9
DUNAV,NOVI SAD,8/22/2024,85,1905.34,27,392,8.4
DUNAV,NOVI SAD,8/23/2024,93,1950.53,26.8,393,8.2
DUNAV,NOVI SAD,8/24/2024,114.67,2077.23,26.6,392.33,8.3
DUNAV,NOVI SAD,8/25/2024,136.33,2210.25,26.4,391.67,8.4
DUNAV,NOVI SAD,8/26/2024,158,2349.6,26.2,391,8.5
DUNAV,NOVI SAD,8/27/2024,154,2323.4,26.1,391,7.9
DUNAV,NOVI SAD,8/28/2024,142,2246.09,25.8,385,8.9
DUNAV,NOVI SAD,8/29/2024,122,2121.55,26,382,8.6
DUNAV,NOVI SAD,8/30/2024,102,2002.39,25.8,386,9.3
DUNAV,NOVI SAD,8/31/2024,97,1973.44,25.6,385.33,9.37
DUNAV,NOVI SAD,9/1/2024,92,1944.83,25.4,384.67,9.43
DUNAV,NOVI SAD,9/2/2024,87,1916.55,25.2,384,9.5
DUNAV,NOVI SAD,9/3/2024,79,1872.01,25.8,387,9
DUNAV,NOVI SAD,9/4/2024,71,1828.33,25.9,392,9.1
DUNAV,NOVI SAD,9/5/2024,67,1806.82,25.6,399,8.9
DUNAV,NOVI SAD,9/6/2024,61,1774.94,25.8,395,9.1
DUNAV,NOVI SAD,9/7/2024,56,1748.75,25.4,397,8.93
DUNAV,NOVI SAD,9/8/2024,51,1722.9,25,399,8.77
DUNAV,NOVI SAD,9/9/2024,46,1697.38,24.6,401,8.6
DUNAV,NOVI SAD,9/10/2024,45,1692.32,23.8,403,8.3
DUNAV,NOVI SAD,9/11/2024,44,1687.27,23.2,403,8.7
DUNAV,NOVI SAD,9/12/2024,50,1717.77,23.2,405,8.8
DUNAV,NOVI SAD,9/13/2024,61,1774.94,22.4,399,9.1
DUNAV,NOVI SAD,9/14/2024,92.5,1947.68,22.67,396,8.77
DUNAV,NOVI SAD,9/15/2024,124,2133.76,22.93,393,8.43
DUNAV,NOVI SAD,9/16/2024,155.5,2333.2,23.2,390,8.1
DUNAV,NOVI SAD,9/17/2024,187,2545.98,17.8,390,8.3
DUNAV,NOVI SAD,9/18/2024,251.5,3023.35,17.7,388,8.3
DUNAV,NOVI SAD,9/19/2024,316,3556.7,17.8,398,8.2
DUNAV,NOVI SAD,9/20/2024,357,3924.84,17.1,402,8.4
DUNAV,NOVI SAD,9/21/2024,380.67,4147.63,16.33,372,8.3
DUNAV,NOVI SAD,9/22/2024,404.33,4377.96,15.57,342,8.2
DUNAV,NOVI SAD,9/23/2024,428,4615.84,14.8,312,8.1
DUNAV,NOVI SAD,9/24/2024,460,4949.45,15,326,7.4
DUNAV,NOVI SAD,9/25/2024,494,5319.01,15.4,332,7.4
DUNAV,NOVI SAD,9/26/2024,528,5704.13,15.6,337,7.1
DUNAV,NOVI SAD,9/27/2024,541,5855.49,16.3,343,6.8
DUNAV,NOVI SAD,9/28/2024,537.67,5816.46,16,350.67,6.93
DUNAV,NOVI SAD,9/29/2024,534.33,5777.58,15.7,358.33,7.07
DUNAV,NOVI SAD,9/30/2024,531,5738.85,15.4,366,7.2
DUNAV,NOVI SAD,10/1/2024,517,5577.83,15.6,372,7.1
DUNAV,NOVI SAD,10/2/2024,503,5419.44,15.4,377,7.4
DUNAV,NOVI SAD,10/3/2024,487,5241.65,15.5,377,7.9
DUNAV,NOVI SAD,10/4/2024,473,5088.91,15.6,379,8
DUNAV,NOVI SAD,10/5/2024,453.33,4878.81,15.2,379.33,8.13
DUNAV,NOVI SAD,10/6/2024,433.67,4673.91,14.8,379.67,8.27
DUNAV,NOVI SAD,10/7/2024,414,4474.21,14.4,380,8.4
DUNAV,NOVI SAD,10/8/2024,404,4374.67,14.5,374,8.6
DUNAV,NOVI SAD,10/9/2024,401,4345.07,14.9,372,8.8
DUNAV,NOVI SAD,10/10/2024,403,4364.79,14.5,370,9.1
DUNAV,NOVI SAD,10/11/2024,402,4354.92,14.7,372,9.1
DUNAV,NOVI SAD,10/12/2024,397.67,4312.32,14.7,378.67,9
DUNAV,NOVI SAD,10/13/2024,393.33,4269.97,14.7,385.33,8.9
DUNAV,NOVI SAD,10/14/2024,389,4227.88,14.7,392,8.8
DUNAV,NOVI SAD,10/15/2024,394,4276.47,14.7,386,8.8
DUNAV,NOVI SAD,10/16/2024,398,4315.59,14.5,376,9.1
DUNAV,NOVI SAD,10/17/2024,401,4345.07,14.8,379,9.1
DUNAV,NOVI SAD,10/18/2024,397,4305.79,14,384,9.2
DUNAV,NOVI SAD,10/19/2024,383.75,4177.21,13.57,382.67,9.2
DUNAV,NOVI SAD,10/20/2024,370.5,4051,13.13,381.33,9.2
DUNAV,NOVI SAD,10/21/2024,357.25,3927.15,12.7,380,9.2
DUNAV,NOVI SAD,10/22/2024,344,3805.66,12.6,380,9.8
DUNAV,NOVI SAD,10/23/2024,327,3653.25,12.5,376,9.6
DUNAV,NOVI SAD,10/24/2024,306,3470.35,12.6,382,10.1
DUNAV,NOVI SAD,10/25/2024,282,3268.58,12.5,390,9.6
DUNAV,NOVI SAD,10/26/2024,265.33,3133.02,12.67,396,9.57
DUNAV,NOVI SAD,10/27/2024,248.67,3001.21,12.83,402,9.53
DUNAV,NOVI SAD,10/28/2024,232,2873.13,13,408,9.5
DUNAV,NOVI SAD,10/29/2024,228,2842.94,13.2,421,9.5
DUNAV,NOVI SAD,10/30/2024,224,2812.98,13,406,9.4
DUNAV,NOVI SAD,10/31/2024,214,2739,12.3,415,9.6
DUNAV,NOVI SAD,11/1/2024,200,2637.69,12.6,418,9.6
DUNAV,NOVI SAD,11/2/2024,187.67,2550.63,12.7,422.67,9.6
DUNAV,NOVI SAD,11/3/2024,175.33,2465.62,12.8,427.33,9.6
DUNAV,NOVI SAD,11/4/2024,163,2382.65,12.9,432,9.6
DUNAV,NOVI SAD,11/5/2024,151,2303.89,12.6,436,9.6
DUNAV,NOVI SAD,11/6/2024,142,2246.09,12.6,439,9.7
DUNAV,NOVI SAD,11/7/2024,132,2183.14,11.8,442,9.9
DUNAV,NOVI SAD,11/8/2024,125,2139.89,11.4,454,10.1
DUNAV,NOVI SAD,11/9/2024,123,2127.65,10.98,454.5,10.15
DUNAV,NOVI SAD,11/10/2024,121,2115.46,10.55,455,10.2
DUNAV,NOVI SAD,11/11/2024,119,2103.33,10.13,455.5,10.25
DUNAV,NOVI SAD,11/12/2024,117,2091.25,9.7,456,10.3
DUNAV,NOVI SAD,11/13/2024,114,2073.24,9.6,462,10.4
DUNAV,NOVI SAD,11/14/2024,109,2043.48,9,467,10.5
DUNAV,NOVI SAD,11/15/2024,105,2019.92,8.7,474,10.6
DUNAV,NOVI SAD,11/16/2024,103,2008.22,8.33,475.67,10.4
DUNAV,NOVI SAD,11/17/2024,101,1996.57,7.97,477.33,10.2
DUNAV,NOVI SAD,11/18/2024,99,1984.98,7.6,479,10
DUNAV,NOVI SAD,11/19/2024,96,1967.69,7.8,480,10.5
DUNAV,NOVI SAD,11/20/2024,92,1944.83,8.1,486,10.9
DUNAV,NOVI SAD,11/21/2024,86,1910.94,7.6,488,11
DUNAV,NOVI SAD,11/22/2024,84,1899.75,7.7,487,11
DUNAV,NOVI SAD,11/23/2024,86.67,1914.68,7.3,489.33,11.1
DUNAV,NOVI SAD,11/24/2024,89.33,1929.71,6.9,491.67,11.2
DUNAV,NOVI SAD,11/25/2024,92,1944.83,6.5,494,11.3
DUNAV,NOVI SAD,11/26/2024,108,2037.57,6.4,490,10.8
DUNAV,NOVI SAD,11/27/2024,112,2061.3,6.8,491,11.2
DUNAV,NOVI SAD,11/28/2024,112,2061.3,7,496,11.4
DUNAV,NOVI SAD,11/29/2024,111,2055.34,6.7,497,11.6
DUNAV,NOVI SAD,11/30/2024,109.33,2045.46,6.7,498,11.6
DUNAV,NOVI SAD,12/1/2024,107.67,2035.6,6.7,499,11.6
DUNAV,NOVI SAD,12/2/2024,106,2025.79,6.7,500,11.6
DUNAV,NOVI SAD,12/3/2024,112,2061.3,6.4,501,11.5
DUNAV,NOVI SAD,12/4/2024,118,2097.29,6.8,508,11.7
DUNAV,NOVI SAD,12/5/2024,121,2115.46,6.7,509,11.8
DUNAV,NOVI SAD,12/6/2024,123,2127.65,6.5,507,11.8
DUNAV,NOVI SAD,12/7/2024,121,2115.46,6.4,507.33,11.77
DUNAV,NOVI SAD,12/8/2024,119,2103.33,6.3,507.67,11.73
DUNAV,NOVI SAD,12/9/2024,117,2091.25,6.2,508,11.7
DUNAV,NOVI SAD,12/10/2024,114,2073.24,6.2,509,11.8
DUNAV,NOVI SAD,12/11/2024,116,2085.24,6.1,507,11.7
DUNAV,NOVI SAD,12/12/2024,125,2139.89,6.1,508,11.7
DUNAV,NOVI SAD,12/13/2024,137,2214.45,5.7,520,11.9
DUNAV,NOVI SAD,12/14/2024,140.67,2237.62,5.6,516,11.9
DUNAV,NOVI SAD,12/15/2024,144.33,2260.97,5.5,512,11.9
DUNAV,NOVI SAD,12/16/2024,148,2284.5,5.4,508,11.9
DUNAV,NOVI SAD,12/17/2024,143,2252.46,5.2,520,12
DUNAV,NOVI SAD,12/18/2024,131,2176.92,5.2,515,12.2
DUNAV,NOVI SAD,12/19/2024,119,2103.33,5,509,12.1
DUNAV,NOVI SAD,12/20/2024,108,2037.57,6,516,12.2
DUNAV,NOVI SAD,12/21/2024,106.67,2029.71,5.8,513,12.07
DUNAV,NOVI SAD,12/22/2024,105.33,2021.88,5.6,510,11.93
DUNAV,NOVI SAD,12/23/2024,104,2014.06,5.4,507,11.8
DUNAV,NOVI SAD,12/24/2024,116,2085.24,4.6,503,11.9
DUNAV,NOVI SAD,12/25/2024,121,2115.46,4.7,505,12.1
DUNAV,NOVI SAD,12/26/2024,126,2146.03,4.6,499,12
DUNAV,NOVI SAD,12/27/2024,138,2220.75,4.1,500,12
DUNAV,NOVI SAD,12/28/2024,141.67,2243.97,4.07,503.67,12.07
DUNAV,NOVI SAD,12/29/2024,145.33,2267.37,4.03,507.33,12.13
DUNAV,NOVI SAD,12/30/2024,149,2290.95,4,511,12.2
DUNAV,NOVI SAD,12/31/2024,140,2233.39,4,510,12.4
